order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,product_id,category,subcategory,product_name,sales,quantity,discount,profit,review
CA-2011-103800,1/3/2013,1/7/2013,Standard Class,DP-13000,Darren Powers,Consumer,Houston,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,,0.2,5.5512,
CA-2011-112326,1/3/2013,1/8/2013,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,2,0.2,4.2717,Bad product
CA-2011-112326,1/4/2013,1/8/2013,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,,0.2,-64.7748,Great performance!
CA-2011-112326,,1/8/2013,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,3,0.8,-5.487,
CA-2011-141817,,1/12/2013,Standard Class,MB-18085,Mick Brown,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,,0.2,4.884,Great performance!
CA-2011-130813,,1/8/2013,Second Class,LS-17230,Lycoris Saunders,Consumer,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,-1,0,9.3312,Highly recommended.
CA-2011-106054,1/6/2013,1/7/2013,First Class,JO-15145,Jack O'Briant,Corporate,Athens,Georgia,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,,0,5.2398,
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,,0,746.4078,Great performance!
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,9,0,274.491,Great performance!
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0,1.4796,Decent for the price.
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0,113.6742,
CA-2011-167199,,1/10/2013,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,2,0,204.1092,Great performance!
